pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MITOTIC G2-G2 M PHASES%REACTOME DATABASE ID RELEASE 93%453274	2.206450574875954e-12	2.617435224123933e-10	0.8986712320616942	-0.5522004111131393	-2.3172235155636423	174	
CHROMOSOME LOCALIZATION%GOBP%GO:0050000	2.9825628262783206e-12	3.495989712801946e-10	0.8986712320616942	-0.6686562139458604	-2.5017884354717825	81	
INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	3.170942002728464e-12	3.673069995160524e-10	0.8986712320616942	-0.8020565107857676	-2.5915047956355393	38	
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.5	3.6365288001974395e-12	4.1634026240399986e-10	0.8986712320616942	-0.7930628692045908	-2.619482309028626	42	
SPINDLE ORGANIZATION%GOBP%GO:0007051	3.815364270834502e-12	4.317939840303047e-10	0.8870749883998732	-0.5842078596867627	-2.356157239909487	137	
G2 M DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 93%69473	4.71247770436014e-12	5.272619940582948e-10	0.8870749883998732	-0.7128534384674454	-2.5560310144620035	66	
TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS%REACTOME DATABASE ID RELEASE 93%174417	6.3169976756528225e-12	6.988444844323336e-10	0.8870749883998732	-0.8319739745203487	-2.549763576572491	32	
POSITIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051984	6.982720602900409e-12	7.639096339573049e-10	0.8870749883998732	-0.8565557309873769	-2.562902437707134	28	
G2 M TRANSITION%REACTOME DATABASE ID RELEASE 93%69275	7.285050329063975e-12	7.882264345050979e-10	0.8753251320246591	-0.5454861108632537	-2.283748717502584	172	
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	9.904441514967248e-12	1.0485928081329842e-9	0.8753251320246591	-0.5845772045484463	-2.3225988032687552	123	
